City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,guarda,PT,42.22,overcast clouds,40.54,-7.27,Hotel Lusitânia Congress & Spa
339,maneadero,MX,60.1,scattered clouds,31.72,-116.57,Casa De Thompson
340,cockburn town,TC,78.03,clear sky,21.46,-71.14,Osprey Beach Hotel
341,tongchuan,CN,46.67,overcast clouds,35.08,109.09,Tongchuan Hotel
342,sechura,PE,74.55,few clouds,-5.56,-80.82,Hospedaje Costa Bella
343,bilecik,TR,21.88,broken clouds,40.0,30.17,Namlı Osmanlı Konagi
345,longyearbyen,SJ,22.84,light snow,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
346,erenhot,CN,24.13,clear sky,43.65,111.98,Erenhot Rurouni Youth Hostel
347,marawi,PH,77.18,overcast clouds,8.0,124.29,Derogongan Residence
348,boditi,ET,60.46,light rain,6.97,37.87,Me'aza Metasebiya Hotel.
349,klaksvik,FO,45.52,overcast clouds,62.23,-6.59,Airbnb rooms
351,mananara,MG,74.1,overcast clouds,-16.17,49.77,androkaroka.les 3 arcs
352,hasaki,JP,50.29,overcast clouds,35.73,140.83,Inubosaki Kanko Hotel
353,nizhniy odes,RU,22.39,overcast clouds,63.64,54.86,Gostinitsa Uyut
354,pimentel,PE,71.89,overcast clouds,-6.84,-79.93,Hotel Puerto del Sol
356,port alfred,ZA,71.4,light rain,-33.59,26.89,The Halyards Hotel
357,sao sepe,BR,58.23,clear sky,-30.16,-53.57,Trevo Parque Hotel
359,punta arenas,CL,50.11,clear sky,-53.15,-70.92,Hotel Hain
360,vila velha,BR,76.95,few clouds,-20.33,-40.29,Hotel Vitória Palace
362,mogadishu,SO,78.04,few clouds,2.04,45.34,Hotel Juba
363,miri,MY,80.74,light rain,4.41,114.01,"Mega Hotel, Miri"
364,oistins,BB,77.09,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
365,kieta,PG,86.59,overcast clouds,-6.22,155.63,Uruna Bay Retreat
366,khairpur nathan shah,PK,74.88,clear sky,27.09,67.73,Asad Joyo
367,mahebourg,MU,77.29,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
368,ormara,PK,74.5,clear sky,25.21,64.64,Kenara Colony house for Rent
369,doha,QA,67.98,clear sky,25.29,51.53,Movenpick Hotel Doha
370,san miguel,SV,86.14,broken clouds,13.48,-88.18,Excalibur
371,carnarvon,AU,78.87,few clouds,-24.87,113.63,Hospitality Carnarvon
372,gladstone,AU,82.33,scattered clouds,-23.85,151.25,Highpoint International Hotel
373,acarau,BR,77.86,overcast clouds,-2.89,-40.12,castelo pizzaria
374,sarankhola,BD,73.2,clear sky,22.31,89.79,Red Crescent Cyclone Shelter Rashulpur
376,charters towers,AU,83.28,broken clouds,-20.1,146.27,Cattleman's Rest Motor Inn
377,port-gentil,GA,80.29,moderate rain,-0.72,8.78,Fengshui Residence
378,ahome,MX,76.95,overcast clouds,25.92,-109.18,LA HOUSE DE LA ALEJANDRA
379,santa marta,CO,83.89,overcast clouds,11.24,-74.2,Hotel La Ballena Azul
380,slave lake,CA,33.55,clear sky,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
381,garowe,SO,67.17,clear sky,8.41,48.48,Curubo Hotel
383,vancouver,CA,43.23,light rain,49.25,-123.12,"Holiday Inn Vancouver-Centre (Broadway), an IHG Hotel"
